index,coordx,coordz
1,8200.0,10.0
2,8225.0,10.0
3,8250.0,10.0
4,8275.0,10.0
5,8300.0,10.0
6,8325.0,10.0
7,8350.0,10.0
8,8375.0,10.0
9,8400.0,10.0
10,8425.0,10.0
11,8450.0,10.0
12,8475.0,10.0
13,8500.0,10.0
14,8525.0,10.0
15,8550.0,10.0
16,8575.0,10.0
17,8600.0,10.0
18,8625.0,10.0
19,8650.0,10.0
20,8675.0,10.0
21,8700.0,10.0
22,8725.0,10.0
23,8750.0,10.0
24,8775.0,10.0
25,8800.0,10.0
26,8825.0,10.0
27,8850.0,10.0
28,8875.0,10.0
29,8900.0,10.0
30,8925.0,10.0
31,8950.0,10.0
32,8975.0,10.0
33,9000.0,10.0
34,9025.0,10.0
35,9050.0,10.0
36,9075.0,10.0
37,9100.0,10.0
38,9125.0,10.0
39,9150.0,10.0
40,9175.0,10.0
41,9200.0,10.0
42,9225.0,10.0
43,9250.0,10.0
44,9275.0,10.0
45,9300.0,10.0
46,9325.0,10.0
47,9350.0,10.0
48,9375.0,10.0
49,9400.0,10.0
50,9425.0,10.0
51,9450.0,10.0
52,9475.0,10.0
53,9500.0,10.0
54,9525.0,10.0
55,9550.0,10.0
56,9575.0,10.0
57,9600.0,10.0
58,9625.0,10.0
59,9650.0,10.0
60,9675.0,10.0
61,9700.0,10.0
62,9725.0,10.0
63,9750.0,10.0
64,9775.0,10.0
65,9800.0,10.0
66,9825.0,10.0
67,9850.0,10.0
68,9875.0,10.0
69,9900.0,10.0
70,9925.0,10.0
71,9950.0,10.0
72,9975.0,10.0
73,10000.0,10.0
74,10025.0,10.0
75,10050.0,10.0
76,10075.0,10.0
77,10100.0,10.0
78,10125.0,10.0
79,10150.0,10.0
80,10175.0,10.0
81,10200.0,10.0
82,10225.0,10.0
83,10250.0,10.0
84,10275.0,10.0
85,10300.0,10.0
86,10325.0,10.0
87,10350.0,10.0
88,10375.0,10.0
89,10400.0,10.0
90,10425.0,10.0
91,10450.0,10.0
92,10475.0,10.0
93,10500.0,10.0
94,10525.0,10.0
95,10550.0,10.0
96,10575.0,10.0
97,10600.0,10.0
98,10625.0,10.0
99,10650.0,10.0
100,10675.0,10.0
101,10700.0,10.0
