index,coordx,coordz
0,0.0,20.0
1,200.0,20.0
2,400.0,20.0
3,600.0,20.0
4,800.0,20.0
5,1000.0,20.0
6,1200.0,20.0
7,1400.0,20.0
8,1600.0,20.0
9,1800.0,20.0
10,2000.0,20.0
11,2200.0,20.0
12,2400.0,20.0
13,2600.0,20.0
14,2800.0,20.0
15,3000.0,20.0
16,3200.0,20.0
17,3400.0,20.0
18,3600.0,20.0
19,3800.0,20.0
20,4000.0,20.0
21,4200.0,20.0
22,4400.0,20.0
23,4600.0,20.0
24,4800.0,20.0
25,5000.0,20.0
26,5200.0,20.0
27,5400.0,20.0
28,5600.0,20.0
29,5800.0,20.0
30,6000.0,20.0
31,6200.0,20.0
32,6400.0,20.0
33,6600.0,20.0
34,6800.0,20.0
35,7000.0,20.0
36,7200.0,20.0
37,7400.0,20.0
38,7600.0,20.0
39,7800.0,20.0
40,8000.0,20.0
